time/ms;on
0;1
202;0
402;1
602;0
802;1
1002;0
1202;1
1402;0
1602;1
1802;0
5002;1
5735;0
6878;1
7420;0
7779;1
7970;0
8331;1
8615;0
9281;1
9903;0
10396;1
11331;0
12240;1
13158;0
13767;1
14813;0
15261;1
16070;0
17184;1
17927;0
18445;1
19470;0
19839;1
20382;0
21155;1
21982;0
22918;1
23641;0
24812;1
25656;0
26408;1
27558;0
27780;1
28757;0
29021;1
29729;0
30779;1
31408;0
31947;1
32876;0
33332;1
33580;0
34725;1
35294;0
35817;1
36192;0
36541;1
37067;0
37452;1
38035;0
39023;1
39571;0
40074;1
40728;0
40871;1
42068;0
43099;1
43562;0
44108;1
44836;0
44996;1
45267;0
46026;1
46833;0
47148;1
48232;0
48472;1
49641;0
50405;1
51279;0
51971;1
52361;0
52748;1
53297;0
54402;1
54604;0
55134;1
55313;0
55663;1
56774;0
57808;1
58068;0
59076;1
59267;0
60196;1
61300;0
61630;1
61771;0
61974;1
62533;0
63095;1
63236;0
64110;1
64236;0
64755;1
65475;0
65648;1
65966;0
66683;1
66928;0
67125;1
67653;0
68609;1
68817;0
69869;1
70369;0
71032;1
71311;0
72070;1
72599;0
73234;1
73901;0
74187;1
75222;0
75431;1
75953;0
77041;1
77345;0
77580;1
77877;0
78464;1
79112;0
79971;1
80112;0
80495;1
80781;0
81620;1
82239;0
82858;1
83797;0
84080;1
85234;0
86243;1
86524;0
87024;1
87661;0
88616;1
88747;0
89533;1
90255;0
91384;1
92354;0
92502;1
92924;0
93838;1
94625;0
94787;1
95286;0
95487;1
96518;0
97368;1
98007;0
98395;1
99003;0
99365;1
99802;0
100966;1
101642;0
102552;1
103120;0
104137;1
104342;0
105376;1
106132;0
106969;1
107796;0
107986;1
109043;0
110140;1
110880;0
111738;1
111968;0
112758;1
113543;0
114180;1
115098;0
116029;1
117018;0
117365;1
118379;0
119021;1
119404;0
120103;1
121171;0
121663;1
121808;0
121916;1
122880;0
123039;1
123754;0
